TeamRank,TeamCode,TeamName,TeamPoints
153,LBR,Liberia,1044
154,DOM,Dominican Republic,1028
155,NCL,New Caledonia,1026
156,KUW,Kuwait,1022
157,MRI,Mauritius,1020
158,TAH,Tahiti,1015
159,MAS,Malaysia,1009
160,IDN,Indonesia,1005
161,GAM,Gambia,1002
162,SIN,Singapore,999
163,VAN,Vanuatu,997
164,BRB,Barbados,996
165,NEP,Nepal,995
166,BLZ,Belize,994
167,FIJ,Fiji,992
168,SSD,South Sudan,989
169,CAM,Cambodia,988
170,MDA,Moldova,985
171,PNG,Papua New Guinea,984
172,LCA,St. Lucia,975
173,GRN,Grenada,973
174,BER,Bermuda,964
175,CUB,Cuba,961
176,CHA,Chad,956
177,DMA,Dominica,954
177,GUY,Guyana,954
177,VIN,St. Vincent and the Grenadines,954
180,PUR,Puerto Rico,940
181,MLT,Malta,939
182,MAC,Macau,936
183,LIE,Liechtenstein,922
183,BAN,Bangladesh,922
185,STP,Sao Tome e Principe,920
186,BHU,Bhutan,916
187,MNG,Mongolia,914
188,LAO,Laos,912
189,ARU,Aruba,909
190,GUM,Guam,908
190,COK,Cook Islands,908
190,ASA,American Samoa,908
193,BRU,Brunei Darussalam,904
194,SEY,Seychelles,902
195,SAM,Samoa,896
195,DJI,Djibouti,896
197,MSR,Montserrat,895
198,GIB,Gibraltar,893
199,VIR,US Virgin Islands,888
200,TLS,Timor-Leste,879
201,SRI,Sri Lanka,872
202,ERI,Eritrea,868
202,TGA,Tonga,868
202,SOM,Somalia,868
205,PAK,Pakistan,867
205,CAY,Cayman Islands,867
205,VGB,British Virgin Islands,867
208,TCA,Turks and Caicos Islands,862
209,AIA,Anguilla,857
210,BAH,Bahamas,855
211,SMR,San Marino,839
